,,Male,,,,,,,,,,Female,,,,,,,,,,Total Sex,,,,,,,,,
,,Total - Highest certificate diploma or degree,Bachelor's degree,Degree in medicine dentistry veterinary medicine or optometry,Master's degree,Earned doctorate,No certificate diploma or degree,Secondary (high) school diploma or equivalency certificate,University certificate diploma or degree,Apprenticeship or trades certificate or diploma,College CEGEP or other non-university certificate or diploma,Total - Highest certificate diploma or degree,Bachelor's degree,Degree in medicine dentistry veterinary medicine or optometry,Master's degree,Earned doctorate,No certificate diploma or degree,Secondary (high) school diploma or equivalency certificate,University certificate diploma or degree,Apprenticeship or trades certificate or diploma,College CEGEP or other non-university certificate or diploma,Total - Highest certificate diploma or degree,Bachelor's degree,Degree in medicine dentistry veterinary medicine or optometry,Master's degree,Earned doctorate,No certificate diploma or degree,Secondary (high) school diploma or equivalency certificate,University certificate diploma or degree,Apprenticeship or trades certificate or diploma,College CEGEP or other non-university certificate or diploma
NOC_YEAR,NOC_CODE,G1EA1,G1EA12,G1EA14,G1EA15,G1EA16,G1EA2,G1EA4,G1EA6,G1EA8,G1EA9,G2EA1,G2EA12,G2EA14,G2EA15,G2EA16,G2EA2,G2EA4,G2EA6,G2EA8,G2EA9,G3EA1,G3EA12,G3EA14,G3EA15,G3EA16,G3EA2,G3EA4,G3EA6,G3EA8,G3EA9
2016,11,65227,71196,0,116778,0,39020,75326,88842,60129,70471,75456,86010,0,117132,0,0,40547,94868,0,55921,68524,81201,0,116950,0,38924,61499,93770,64107,58534
2016,12,132642,128246,0,151323,157263,67847,86786,142715,95760,107085,111274,117314,0,137231,139548,0,71817,130040,0,83403,122657,123372,0,144717,156449,67591,80127,137154,91667,92586
2016,13,144512,162883,0,174930,89941,78398,100884,164735,88498,103681,132809,146765,0,180841,104866,53837,101809,152334,106156,100415,141143,157194,0,175990,90062,65460,101146,160507,94806,102696
2016,14,114513,110832,0,134722,165858,0,70532,125751,110726,94981,92007,91267,0,118774,133102,68201,69710,103940,0,82111,101717,100018,353427,128081,163901,91925,70067,112139,81181,84340
2016,15,111026,141846,0,160708,0,73387,87742,144967,63606,103332,95089,125914,0,133299,0,49190,59360,125300,58184,73317,106841,136142,0,153908,0,70034,83714,139144,60672,93331
2016,16,122531,159929,0,198784,154252,66000,89654,166406,88455,105228,99210,129564,0,184283,0,53872,69330,138258,59304,85160,118972,152776,0,197954,150575,65684,86880,162423,87830,98056
2016,111,105009,104804,0,120034,161154,63640,90018,110161,62677,92850,84707,94716,0,108660,89082,75791,71585,96513,50322,71948,93897,99139,0,115445,105337,71333,74818,103225,53622,79031
2016,112,93960,100821,0,112216,0,66320,83797,104019,88397,79993,88436,91305,0,105177,0,65233,78713,93652,73493,80791,89649,93640,0,108120,135323,66271,80569,97186,84551,80551
2016,113,94489,99513,0,115132,0,86756,81008,104200,76157,90096,87679,95103,0,87516,0,79306,78811,92543,0,85002,91403,97906,0,107571,0,86725,80548,99510,76047,87102
2016,114,92226,101993,0,111191,133307,70764,70838,105830,79554,86512,75071,78477,0,104807,119731,67328,62025,86326,72927,69576,83045,89270,0,107393,133169,67409,66238,94542,74507,77419
2016,121,105496,112291,0,137437,0,60921,76493,115738,91599,91110,88818,93066,0,113953,0,68092,84052,94036,79404,76079,94993,101864,0,129339,0,68086,79296,105937,84066,82878
2016,122,99678,100384,0,127025,172320,95520,87340,109445,77602,86480,77871,83489,0,114434,0,67897,72103,87009,63095,72910,87210,92180,0,122402,134402,70147,75695,98877,73671,77080
2016,124,89910,90316,0,110359,131022,75792,80911,96318,75886,78233,77611,78924,0,90217,0,58101,72517,80757,48137,69456,82214,83441,0,99018,130715,62988,75662,86445,73616,73746
2016,125,63073,75255,0,80914,0,47699,53749,76920,52682,64415,59977,69511,0,67700,0,43043,50043,69438,60359,60735,62143,71284,0,72342,101880,46363,53185,72334,52847,63215
2016,131,99098,103219,0,121943,0,62033,87522,110687,85380,92490,88514,101262,0,93613,0,0,83431,96456,0,82508,94966,103129,0,113573,130636,62203,86775,106135,82346,90142
2016,132,79706,82518,0,84831,0,44162,77548,84148,0,77447,49600,96211,0,0,0,54801,38838,95785,0,65139,69211,82789,0,84899,0,44687,55262,84192,59015,74924
2016,211,120676,125694,0,129322,135735,0,0,125962,106564,106203,105010,107484,0,117423,0,0,0,109820,0,75398,118196,123261,0,125191,133624,0,0,123140,106829,101014
2016,212,105727,104169,0,116986,112957,0,0,109069,0,96727,95521,98141,0,92510,111400,0,0,99523,0,92193,102894,102364,0,107999,112729,0,0,105419,0,94483
2016,213,109337,113304,0,123168,134362,94243,98147,116045,98350,100204,104084,107170,0,111894,152976,82711,96998,108873,76318,97621,108297,111456,0,121159,134915,91422,97186,113306,93392,99416
2016,311,96473,94456,112642,105804,136926,0,67085,100938,81018,95131,93194,94572,98440,105730,126708,49990,59495,100255,59829,71855,93868,94543,99957,105744,128876,50161,61424,100437,69275,77053
2016,411,111796,105333,0,116421,117369,0,0,113430,0,99209,109961,102886,0,114315,115763,0,92883,113285,0,87744,110789,104475,0,115317,116039,0,92852,113318,0,95445
2016,412,109615,109651,0,113748,117697,0,101308,113100,0,96775,107095,106701,0,113666,0,0,106114,110599,0,93447,108669,108747,0,113699,117333,0,102347,111994,0,93555
2016,413,101403,82848,0,106010,0,0,0,101587,0,0,91354,99343,0,93951,0,0,0,93863,0,0,92548,87240,0,104390,0,0,0,94160,0,50883
2016,414,101961,101554,0,115108,105850,86401,88434,106970,87888,100167,98037,100516,0,102959,0,0,85710,102693,0,90262,100773,101461,0,111612,112474,80186,88337,104380,87888,97435
2016,421,94954,83360,0,101521,166304,0,55745,99452,0,77512,76766,73411,0,93917,138881,0,63917,82200,0,60050,82173,75615,0,95328,154313,0,62857,89078,0,63140
2016,422,116215,113328,0,120873,124946,0,0,116905,0,77511,112570,110674,0,116943,113248,0,0,113260,0,47156,113817,111899,0,118179,124133,0,0,114327,0,53208
2016,423,81283,81562,0,97439,0,0,70488,88039,58873,74972,70278,70815,0,91021,81582,51573,59568,77011,58326,63950,72355,72233,0,93662,81857,51666,63957,79817,58838,65690
2016,431,144029,141387,0,153156,0,0,139123,149952,0,139158,95067,97135,0,0,0,0,0,112879,0,0,140086,136417,0,154121,0,0,139123,144226,0,136581
2016,432,115768,110077,0,0,0,0,117954,128271,97304,115718,92935,0,0,0,0,0,0,123158,0,0,115054,117300,0,0,0,0,115690,124414,97304,110867
2016,433,101529,98156,220171,114649,0,0,88080,105172,93746,102557,96061,90689,0,113144,0,0,63242,99842,0,83567,100213,97265,211466,114491,0,0,83943,104408,89908,95533
2016,511,82644,77959,0,87828,0,0,59067,87140,0,68443,78648,61175,0,89644,0,0,54518,82474,0,81227,79253,68647,0,88610,0,0,59057,82904,0,80607
2016,512,79269,74538,0,108716,0,0,82960,85107,0,75005,66422,73517,0,77056,0,0,64284,73850,0,58373,71641,73787,0,91846,0,43254,68666,78087,0,68101
2016,513,60183,60082,0,79959,0,35012,56165,65056,0,62181,47280,49393,0,71821,0,37950,49799,52565,38911,41545,54721,57314,0,72429,0,35071,52120,59131,56887,53249
2016,601,107092,116261,0,117942,109678,77257,99311,115216,96778,103027,83220,95362,0,107101,0,67260,73338,95447,59334,76012,99508,108120,0,114164,108497,74959,89746,108457,84465,94068
2016,621,56391,61964,32032,62579,69404,47791,53324,61277,59855,59496,40770,46006,38564,48121,87067,35433,39579,45089,40075,41946,48721,54154,38409,58526,69446,41946,46112,53587,53911,50220
2016,631,37073,39651,0,37749,22261,28944,36898,38926,34160,40640,32722,33763,0,33878,0,28470,32501,33659,30451,34979,34887,36839,21617,36195,26093,28600,34758,36370,31487,37272
2016,632,49328,59130,0,77141,0,32268,40152,65785,44332,51801,44421,48117,0,38008,0,35248,36964,46701,42651,54155,46288,54291,0,59492,0,32996,38034,56239,42696,53732
2016,651,40144,38195,0,41502,0,29537,40681,38153,41747,49395,29958,31376,0,30036,0,21397,31658,31015,29164,29963,33998,35917,0,37460,0,26962,35862,35630,30340,35635
2016,711,76722,82853,0,88793,0,55038,66982,82499,84962,78685,60159,69351,0,82912,0,51967,50587,70507,85662,54982,74566,79886,0,88401,0,55037,64697,80179,85011,75821
2016,712,33155,48331,0,39752,0,25829,31734,44570,32436,36070,42780,52135,0,0,0,40247,38213,52019,0,49741,33940,48764,0,40029,0,26496,32395,44639,32426,37295
2016,714,68620,77437,0,84953,0,52575,59560,79850,78760,74901,58906,65477,0,94396,0,41246,55337,66886,37532,62458,66210,73354,0,86888,0,50154,58840,74986,76998,72126
2016,731,76383,84033,0,76606,0,62629,71236,81439,78399,80639,64402,65168,0,105022,0,42310,59626,77573,42397,66887,73663,78661,0,87671,0,59600,68985,79802,76011,76527
2016,811,119571,148195,0,178948,0,90535,89137,151612,82770,113336,113036,118174,0,0,0,0,63589,131308,0,0,117605,144731,0,153484,0,90535,83602,148132,82770,113538
2016,821,20077,26208,19834,26387,0,15298,24373,24963,14722,24773,14265,16678,0,18470,0,13228,12842,16729,15971,13802,18963,22546,0,24389,70732,15114,20898,22374,14769,21272
2016,822,52319,67328,0,0,0,34857,53814,64634,20446,52551,37950,34839,0,0,0,0,34477,40649,0,40581,47045,49121,0,0,0,33055,50950,50014,15971,49193
2016,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12949,0,0,0,0,0,0,0,0,0
2016,911,84404,96239,0,109830,89420,69295,75206,96495,85479,84173,65428,79701,0,78546,102056,54103,59301,80182,45069,64431,81113,91956,81778,101504,101923,64695,71326,93323,81885,81178
2016,912,122045,130894,0,152040,0,60162,99418,137016,132385,119949,104010,128466,0,137444,0,0,89945,117953,0,96899,118048,130845,0,140364,0,58093,95608,134401,132160,113208
2016,1111,79526,81592,0,90074,78963,0,60717,83877,55493,67047,65035,68062,0,75277,74590,0,55871,69222,46918,58104,70371,73756,81123,81906,74710,0,56689,75122,50104,60766
2016,1112,85568,81493,0,108544,127586,0,66201,88403,0,68815,72461,73221,0,84532,78040,0,66854,75358,54016,66376,78207,76981,0,96968,116251,0,66539,81952,58007,66891
2016,1113,77708,87976,0,149561,0,0,60070,97459,0,54750,58647,61833,0,66987,0,0,58764,63776,0,53194,66456,77150,0,142848,0,0,58861,83550,40571,54620
2016,1114,68911,71277,0,89640,91827,49592,61256,73884,55972,62280,60980,63508,0,72755,0,57253,59402,63899,54086,58661,64343,67786,31697,83210,80000,55819,59916,69211,54787,59970
2016,1121,82786,79018,0,96444,88487,90383,81899,82260,123345,79036,69321,69932,0,86217,0,62383,64459,72074,59432,65672,72120,71901,0,88178,87265,73262,69464,74579,107289,67558
2016,1122,81313,83974,0,90848,85356,72839,66127,85414,68310,74303,75195,74051,0,82974,90313,85005,73182,77593,68828,71324,78456,79385,0,87243,89019,73300,71299,81456,68456,72472
2016,1123,64953,68013,0,76531,60012,41048,54468,69163,48801,60042,57719,58306,0,65165,72394,58576,52361,59493,44198,54704,59663,60761,0,69191,70037,44948,52554,61823,46075,56451
2016,1211,72323,83975,0,64096,0,74098,62862,82701,91704,73230,61791,63779,0,85210,0,63827,61235,63832,57310,60798,64167,65236,0,74172,0,64392,61717,66739,80506,63694
2016,1212,70475,74701,0,89273,0,57948,65013,77967,65465,66372,60864,63555,0,73449,0,58913,60779,63617,58091,59227,62973,65748,0,80256,0,57986,61433,67128,63147,60479
2016,1213,56704,46036,0,0,0,0,35678,56626,0,62591,60806,65922,0,62209,0,0,69785,63112,0,58052,60705,61102,0,63053,0,0,60182,62426,0,59744
2016,1214,70950,70431,0,0,0,70751,69683,70873,0,72102,59205,65103,0,0,0,55038,58085,65115,56394,60466,65864,69761,0,0,0,58043,62346,70424,59306,70506
2016,1215,57070,57822,0,71012,0,55251,56482,57709,59896,58858,50065,53059,0,49135,0,50321,48840,52076,42643,51885,54879,55965,0,58582,0,53664,54253,55545,55998,56087
2016,1221,66155,69581,0,84739,83284,52613,59697,71991,67869,64519,50081,53103,40027,65734,73417,46826,49132,54639,43755,48578,52030,56019,40549,71783,78802,47424,49914,57715,47322,50131
2016,1222,75083,77336,0,130163,0,0,64078,86061,0,65659,61344,59300,0,62690,58635,58608,63292,59806,55846,60791,61981,60563,0,73777,62797,59199,63304,61800,55743,60841
2016,1223,61922,61976,0,86473,0,56294,56180,62671,87000,58325,57318,57233,0,75504,0,31524,54542,59064,33094,57127,58540,58911,0,77615,0,50995,54920,60114,64419,57196
2016,1224,52770,66714,0,58057,0,33932,44237,64761,52577,50978,47330,51005,0,63922,0,34903,47215,51094,35542,46071,49190,57052,0,63813,27531,34351,46317,56440,43869,47895
2016,1225,64764,70701,0,78261,0,56945,60685,72081,63803,64171,56556,58099,0,69198,0,51394,52670,59364,57290,56545,60276,63550,0,73648,0,54554,56265,64718,57704,59994
2016,1226,50754,43833,0,77005,0,50597,53849,45745,40075,54778,49998,49056,0,50856,0,37731,48452,49892,44944,51381,50182,47797,0,51717,0,47148,51761,49107,41982,52185
2016,1227,78524,75929,0,111259,0,0,0,82246,0,78050,68871,77224,0,127355,0,0,0,78019,0,65575,73720,77096,0,127013,0,0,0,79815,0,67112
2016,1228,76862,78638,0,80335,0,0,62675,78774,83465,76724,63299,66507,0,67916,0,56006,60615,66871,54301,60400,68339,72599,0,72724,77152,55962,62107,72504,58710,66025
2016,1241,50065,49902,0,53139,0,48009,49618,50513,84477,49539,46838,45926,37722,49021,54419,41632,47241,46147,43327,47525,46978,46135,37722,49593,59908,42088,47308,46493,43729,47589
2016,1242,48641,46337,0,45018,0,0,48783,47040,0,49503,51488,47785,0,49717,0,44715,51671,48856,51010,52444,51405,47240,0,49673,0,44645,51597,48477,51117,52372
2016,1243,47851,49156,0,0,0,0,47242,51859,0,46684,45043,44700,37173,46121,0,40394,45391,44594,40363,45280,45125,44952,41032,46259,0,40737,45427,45056,39666,45317
2016,1251,34351,35264,0,0,0,0,0,35134,0,36494,45303,39532,0,0,0,0,46558,39542,0,47130,44453,38439,0,34304,0,0,45827,38327,0,46890
2016,1252,74545,74242,0,102804,0,0,60740,82342,0,0,58982,65760,0,100812,0,0,53968,68822,55591,57251,59859,66507,0,102228,0,0,55989,71294,55591,57449
2016,1253,56510,62070,0,65546,0,0,50957,60934,0,60223,52664,50450,0,52917,0,57705,53968,52745,0,51664,53157,52812,0,55934,0,54910,51924,53492,0,52696
2016,1254,62367,58766,0,66025,0,0,64354,61862,0,62496,60855,61807,0,78321,0,51546,58115,64039,0,59798,61786,61757,0,75476,0,51694,58470,62644,0,60625
2016,1311,53770,59049,0,82505,0,38682,45447,60631,38260,48189,44228,47800,0,49783,0,39371,43644,47844,43794,43223,45226,50785,0,59222,51013,39280,43880,51070,43579,43507
2016,1312,66539,66736,0,81122,0,0,62680,67690,65294,67716,59066,59839,0,67888,0,0,56623,60475,51225,58257,61698,62278,0,69554,0,0,59142,63047,55802,61730
2016,1313,68508,71069,0,76730,0,0,66286,71899,0,60074,58379,58372,0,55104,0,0,57618,60517,56611,57742,61474,63604,0,64846,0,0,58760,64842,56790,58594
2016,1314,69206,70604,0,76896,0,0,57499,75370,67412,68400,65665,67737,0,56324,0,0,60125,67787,0,58359,68045,68269,0,72887,0,0,58038,72875,67210,67554
2016,1315,52829,43481,0,73373,0,0,52792,47674,0,54063,45334,50903,0,0,0,0,46193,51008,43366,41979,47477,47164,0,50295,0,48751,49077,49691,49143,43152
2016,1411,48852,47862,0,53878,0,44624,48798,49154,48127,49315,45123,45596,27340,49625,0,39253,45612,45601,42304,45367,45656,45898,33613,51406,58655,39890,46080,46347,44193,45733
2016,1414,38233,37526,0,0,0,44450,37686,34663,39289,40597,34687,33822,33471,30708,0,32468,34857,33920,34886,35007,34789,33955,32703,30676,43265,32895,35005,34014,35007,35112
2016,1415,59989,57141,0,115925,0,0,60758,58493,0,62033,51877,49440,0,54906,0,0,53339,50752,0,51527,52430,50820,0,63140,0,0,53504,51881,57690,51934
2016,1416,54617,0,0,0,0,0,53299,0,0,54579,50627,49261,0,0,0,0,59962,49227,0,53440,51224,49241,0,0,0,0,56739,49256,0,53554
2016,1422,44509,41094,0,78813,0,48589,43295,44328,0,46289,39680,37547,0,41692,0,38011,39290,38721,42674,41377,40571,38348,0,51379,0,38548,39978,40225,43803,42067
2016,1423,63358,66209,0,0,0,0,78346,63457,0,59135,46831,0,0,0,0,0,43118,0,0,0,57183,58616,0,0,0,0,61518,57311,0,56031
2016,1431,49606,50007,0,55004,0,47537,49479,52012,48576,46634,45054,44848,0,47420,0,43770,45836,45067,41285,44801,45650,46266,0,50096,55805,43869,46157,46732,42323,44934
2016,1432,57503,55963,0,71856,0,0,61516,56211,0,57076,53864,54856,0,52153,0,51853,53468,54253,52833,54202,54261,54965,0,56724,0,51907,54018,54567,52875,54687
2016,1434,52208,54233,0,95393,0,38447,46267,56585,0,49201,46017,47256,0,47636,0,43891,46423,46462,40978,45863,47542,49282,0,60057,0,41581,46371,49462,41801,47177
2016,1435,47931,48782,0,31957,0,39884,50016,45535,42863,47439,45059,45489,0,30140,0,40541,45864,44156,45476,46203,46001,48135,0,31901,0,40500,47875,44411,45323,46713
2016,1451,50973,52982,0,0,0,0,47096,54174,0,50389,50997,50330,0,52364,0,30509,50168,50858,0,52302,50993,50767,0,52721,0,30509,49835,51502,0,51718
2016,1452,57509,62462,0,57807,0,46596,52761,61052,76937,56491,50484,52360,0,61664,0,44832,49480,53110,43949,50166,52221,54796,0,61469,0,44836,50034,54896,46594,51202
2016,1454,48427,50538,0,66563,0,38998,50333,51893,66370,41976,44854,43728,0,43633,0,0,40904,43761,0,47478,46402,48520,0,53587,0,36172,44686,50042,53399,46377
2016,1511,54736,56943,0,57643,0,53947,49907,56933,55593,55964,50743,56255,0,56991,0,50166,49550,56056,48010,50467,52586,56534,0,57055,0,51423,49762,56509,53263,54360
2016,1512,59789,60974,0,64543,0,59230,59675,61141,59936,59867,54679,58185,0,0,0,48592,56145,57740,45013,56517,58583,60020,0,62308,0,55507,58656,60019,57653,58541
2016,1513,38690,36332,0,34052,0,37152,40042,36027,32657,39580,28684,52972,0,0,0,26135,28833,45775,0,30334,37595,37101,0,34052,0,35185,39761,36180,31075,38816
2016,1521,42452,40667,0,36970,0,43556,42515,40387,44034,41024,35174,37324,0,35177,0,34024,35252,37455,34145,35977,40654,39976,0,36839,0,42110,40576,39755,41840,39362
2016,1522,44785,47113,0,51596,0,43580,44906,47360,45629,45652,41018,33200,0,0,0,38667,41118,37579,43974,42607,44167,44127,0,51569,0,41614,44274,44159,44793,45066
2016,1523,65323,65826,0,69317,0,64392,59906,66953,76606,67304,52325,52289,0,71322,0,50599,52521,52438,56430,51674,58043,58074,0,69439,0,58092,55938,59504,71136,57881
2016,1524,46945,49259,0,48727,0,47333,46363,48324,45982,46981,44014,49070,0,49016,0,38909,42890,48278,41937,46450,45859,49213,0,48870,0,43165,44504,48307,44425,46624
2016,1525,53542,53288,0,39031,0,52083,52890,52055,58537,54922,50351,58049,0,45053,0,36611,49059,57808,41806,54148,51993,55852,0,42135,0,44196,51426,54197,56247,54724
2016,1526,59723,53110,0,58625,0,62332,57767,53112,60738,63852,52285,53270,0,0,0,47573,50724,53491,0,53322,54273,53153,0,58744,0,54368,53092,53222,55442,58461
2016,2111,116723,95648,0,112050,122722,0,0,119867,0,80559,83583,67249,0,84510,84463,0,0,83583,0,0,109445,83601,0,104439,121421,0,0,111639,0,80559
2016,2112,72800,67815,0,71574,83820,0,66328,73595,0,62395,66717,66202,0,64849,79178,0,0,67616,0,62269,70502,67333,0,68556,83217,0,60609,71231,0,62340
2016,2113,92072,89564,0,97127,107255,0,0,94938,0,77241,83693,82845,0,85539,80809,0,0,83628,0,0,89496,88397,0,92149,98422,0,0,89957,0,77241
2016,2114,94785,91992,0,0,98213,0,0,94529,0,0,92433,0,0,0,0,0,0,92433,0,0,94528,91875,0,97467,97768,0,0,94289,0,0
2016,2115,88363,85370,0,82899,123303,0,0,93434,0,0,87515,88732,0,0,0,0,0,87515,0,0,88349,87231,0,84912,114596,0,0,90416,0,0
